,cpu_usage
715,0.16380371
716,0.16411741
717,0.16816091
718,0.23337667
719,0.23427027
720,0.20488522
721,0.20488522
722,0.20488522
723,0.16445622
724,0.16524922
725,0.19360168
726,0.21418278
727,0.21418278
728,0.14909247
729,0.22385247
730,0.20683158
731,0.20587118
732,0.20617638
733,0.24008273
734,0.23937793
735,0.19708082
736,0.19412482
737,0.19412482
738,0.14395866
739,0.14395866
740,0.14829612
741,0.23495812
742,0.23495812
743,0.20038817
744,0.20038817
745,0.16713941
746,0.16713941
747,0.16713941
748,0.23603562
749,0.23603562
750,0.19122187
751,0.19122187
752,0.19122187
753,0.14381636
754,0.14280636
755,0.15032531
756,0.15417031
757,0.14989831
758,0.14475802
759,0.14475802
760,0.16453902
761,0.16923502
762,0.16923502
763,0.19495517
764,0.19495517
765,0.19506692
766,0.19506692
767,0.19506692
768,0.20353196
769,0.20721196
770,0.19026686
771,0.19403686
772,0.19403686
773,0.19761471
774,0.19761471
775,0.19595981
776,0.19595981
777,0.19595981
778,0.24438262
779,0.24438262
780,0.17773602
781,0.17773602
782,0.17773602
783,0.13901721
784,0.13901721
785,0.14012026
786,0.13877926
787,0.13877926
788,0.17142062
789,0.17142062
790,0.17055832
791,0.17055832
792,0.16660832
793,0.21086842
794,0.21086842
795,0.21047562
796,0.27602562
797,0.27602562
798,0.21663816
799,0.21663816
800,0.20316066
801,0.20316066
802,0.20278266
803,0.20801052
804,0.20801052
805,0.20497126
806,0.20497126
807,0.20497126
808,0.28944697
809,0.28944697
810,0.19420207
811,0.20054207
812,0.20054207
813,0.17535776
814,0.17535776
815,0.20200931
816,0.20132631
817,0.15042631
818,0.15446516
819,0.15498496
820,0.15241926
821,0.15241926
822,0.15241926
823,0.20488887
824,0.20488887
825,0.19546502
826,0.19546502
827,0.19546502
828,0.16648477
829,0.30265477
830,0.21715232
831,0.21598332
832,0.21598332
833,0.20337932
834,0.20337932
835,0.20988752
836,0.20988752
837,0.20988752
838,0.27136568
839,0.27136568
840,0.25231042
841,0.25231042
842,0.25231042
843,0.16677876
844,0.16677876
845,0.19115466
846,0.19115466
847,0.16939976
848,0.15203006
849,0.15203006
850,0.15488512
851,0.15488512
852,0.19144512
853,0.21698867
854,0.21698867
855,0.25757477
856,0.25757477
857,0.25757477
858,0.22536876
859,0.22536876
860,0.15953591
861,0.15953591
862,0.15884591
863,0.15361306
864,0.15361306
865,0.17218706
866,0.17218706
867,0.17218706
868,0.20054472
869,0.20054472
870,0.17607862
871,0.17607862
872,0.21159862
873,0.14426362
874,0.14426362
875,0.15241886
876,0.15180486
877,0.18366486
878,0.16676176
879,0.16676176
880,0.14753802
881,0.14753802
882,0.14753802
883,0.25454948
884,0.25454948
885,0.20471547
886,0.20165647
887,0.20165647
888,0.12463921
889,0.12463921
890,0.12806326
891,0.12622626
892,0.12622626
893,0.11976651
894,0.10568651
895,0.11884756
896,0.17206646
897,0.17206646
898,0.30423208
899,0.30423208
900,0.33392738
901,0.33392738
902,0.33392738
903,0.28338943
904,0.28338943
905,0.13399461
906,0.13400561
907,0.13338761
908,0.11935461
909,0.11935461
910,0.12778241
911,0.12778241
912,0.12778241
913,0.16935072
914,0.16935072
915,0.15504796
916,0.15504796
917,0.15504796
918,0.10872186
919,0.10872186
920,0.13403452
921,0.13332852
922,0.13332852
923,0.11085661
924,0.11085661
925,0.17528116
926,0.17528116
927,0.17528116
928,0.22861522
929,0.22861522
930,0.17565611
931,0.17565611
932,0.17565611
933,0.17167626
934,0.17167626
935,0.18698621
936,0.18698621
937,0.18698621
938,0.17313291
939,0.17313291
940,0.17900506
941,0.17900506
942,0.17900506
943,0.22501952
944,0.22501952
945,0.20924052
946,0.20924052
947,0.20924052
948,0.2241093
949,0.22419704
950,0.21616711
951,0.21479911
952,0.21479911
953,0.19331537
954,0.20975347
955,0.25643026
956,0.25643026
957,0.25643026
958,0.29935322
959,0.25415922
960,0.26818857
961,0.26667057
962,0.26667057
963,0.35337128
964,0.35337128
965,0.41939939
966,0.41870539
967,0.40088539
968,0.32589847
969,0.32589847
970,0.18351991
971,0.18595791
972,0.18595791
973,0.22593772
974,0.22593772
975,0.19693716
976,0.19655186
977,0.19655186
978,0.17092271
979,0.17092271
980,0.17424191
981,0.17350191
982,0.17350191
983,0.17238936
984,0.17238936
985,0.18393316
986,0.18393316
987,0.18393316
988,0.20868177
989,0.20868177
990,0.19025272
991,0.19025272
992,0.19025272
993,0.17458426
994,0.17458426
995,0.17901381
996,0.17850681
997,0.24076681
998,0.23679942
999,0.23744026
1000,0.2309506
1001,0.2309506
1002,0.2125486
1003,0.231254
1004,0.2289136
1005,0.21642087
1006,0.21642087
1007,0.21813387
1008,0.17282316
1009,0.17282316
1010,0.2045248
1011,0.2045248
1012,0.2037678
1013,0.17328714
1014,0.17328714
1015,0.18092848
1016,0.18092848
1017,0.18092848
1018,0.2297859
1019,0.2297859
1020,0.20763299
1021,0.20763299
1022,0.20763299
1023,0.17421818
1024,0.17421818
1025,0.18168523
1026,0.18125923
1027,0.18125923
1028,0.18747679
1029,0.23587679
1030,0.21200584
1031,0.21200584
1032,0.21200584
1033,0.2443063
1034,0.2443063
1035,0.22049589
1036,0.22049589
1037,0.22131609
1038,0.17196873
1039,0.17196873
